idind,year,type,wage,nls,logwage,lognls
1722,1998,4,2000,2000,7.600902459542082,7.600902459542082
1729,1998,4,200,2000,5.298317366548036,7.600902459542082
14557,1998,4,300,7000,5.703782474656201,8.85366542803745
14558,1998,4,350,5000,5.857933154483459,8.517193191416238
1768,1998,1,440,1000,6.0867747269123065,6.907755278982137
1784,1998,1,937,2500,6.842683282238422,7.824046010856292
1787,1998,1,237,2000,5.4680601411351315,7.600902459542082
1789,1998,1,500,4000,6.214608098422191,8.294049640102028
1795,1998,1,800,4000,6.684611727667927,8.294049640102028
1799,1998,1,600,3000,6.396929655216146,8.006367567650246
1803,1998,1,800,20000,6.684611727667927,9.903487552536127
1814,1998,1,110,2000,4.700480365792417,7.600902459542082
1825,1998,1,550,3000,6.309918278226516,8.006367567650246
1827,1998,1,1300,25000,7.170119543449628,10.126631103850338
1830,1998,1,397,1500,5.983936280687191,7.313220387090301
1835,1998,1,400,3500,5.991464547107982,8.160518247477505
1840,1998,1,210,10000,5.3471075307174685,9.210340371976184
1841,1998,1,340,3000,5.8289456176102075,8.006367567650246
1845,1998,1,1500,3000,7.313220387090301,8.006367567650246
1854,1998,1,1000,6000,6.907755278982137,8.699514748210191
1857,1998,1,1000,6000,6.907755278982137,8.699514748210191
1858,1998,1,500,5000,6.214608098422191,8.517193191416238
1863,1998,1,3100,10000,8.039157390473237,9.210340371976184
1869,1998,1,850,5000,6.745236349484363,8.517193191416238
1873,1998,1,700,5000,6.551080335043404,8.517193191416238
14561,1998,1,600,3500,6.396929655216146,8.160518247477505
14564,1998,1,2500,5000,7.824046010856292,8.517193191416238
1882,1998,1,550,10000,6.309918278226516,9.210340371976184
1884,1998,1,295,5000,5.68697535633982,8.517193191416238
1888,1998,1,1200,5000,7.090076835776092,8.517193191416238
1890,1998,1,57,2000,4.04305126783455,7.600902459542082
1894,1998,1,400,10000,5.991464547107982,9.210340371976184
14568,1998,1,980,5000,6.887552571664617,8.517193191416238
